AALR3;01/10/2021;Novo Mercado;Saúde;Reprovado;R$ 12,50;R$ 7,57;-39,41%; R$ -   ;0,00%;0,00%;50,24;R$ 0,25;1,22;R$ 10,25;2,43%;1,12%;5,10%;28,22%;2,63%;16,76;0,47;1,32;1,2;0,00%;0;R$ 11.383.720,32
ABCB4;01/10/2021;Nível 2;Bancos;Reprovado;R$ 15,59;R$ 29,40;88,57%;R$ 0,77;4,94%;39,57%;8,01;R$ 1,95;0,79;R$ 19,73;9,86%;1,00%;0,00%;64,72%;28,90%;4,53;0;2,32;2,41;2,52%;3,18;R$ 18.314.518,95
ABEV3;01/10/2021;Tradicional;Bebida e Alimentos;Aprovado;R$ 15,30;R$ 10,22;-33,20%;R$ 0,49;3,21%;53,06%;16,53;R$ 0,93;3,05;R$ 5,02;18,45%;11,71%;19,69%;52,59%;21,91%;12,15;-0,15;3,62;1,14;3,24%;5,1;R$ 392.711.376,73
ADHM3;01/10/2021;Novo Mercado;Saúde;Reprovado;R$ 1,56; R$ -   ;-100,00%; R$ -   ;0,00%;0,00%;-4,09;-R$ 0,38;-1,29;-R$ 1,21;31,54%;-2571,90%;22,61%;100,00%;-18860,61%;-5,69;0;770,9;0;0,00%;0;R$ 94.201,44
AERI3;01/10/2021;Novo Mercado;-;Reprovado;R$ 7,94;R$ 2,10;-73,60%; R$ -   ;0,00%;0,00%;53,44;R$ 0,15;6,04;R$ 1,31;11,30%;4,63%;10,16%;10,44%;4,18%;30,69;0,63;2,23;2,73;0,00%;0;R$ 29.203.746,18
AERI3;01/10/2021;Novo Mercado;-;Reprovado;R$ 7,94;R$ 2,10;-73,60%; R$ -   ;0,00%;0,00%;53,44;R$ 0,15;6,04;R$ 1,31;11,30%;4,63%;10,16%;10,44%;4,18%;30,69;0,63;2,23;2,73;0,00%;0;R$ 29.203.746,18
AESB3;01/10/2021;Novo Mercado;-;Reprovado;R$ 12,65;R$ 1,97;-84,43%;R$ 0,23;1,83%;491,10%;268,36;R$ 0,05;3,46;R$ 3,66;1,29%;0,23%;1,54%;32,59%;4,13%;80,28;2,64;11,09;1,35;0,00%;0;R$ 31.596.543,59
AFLT3;01/10/2021;Novo Mercado;Setor Elétrico;Reprovado;R$ 8,66;R$ 4,38;-49,42%;R$ 0,44;5,08%;140,51%;27,66;R$ 0,31;3,18;R$ 2,72;11,50%;10,43%;11,06%;70,12%;53,65%;25,85;-0,07;14,84;8,22;9,35%;2,96;R$ 4.394,79
AGRO3;01/10/2021;Novo Mercado;Agronegócio;Aprovado;R$ 30,70;R$ 38,59;25,69%;R$ 0,71;2,31%;22,85%;9,89;R$ 3,10;1,44;R$ 21,32;14,56%;9,27%;12,30%;40,27%;26,02%;7,48;-0,09;2,57;2,66;108,88%;0,09;R$ 23.259.505,95
AHEB3;01/10/2021;Tradicional;Consumo Cíclico | Turismo;Reprovado;R$ 25,01; R$ -   ;-100,00%; R$ -   ;0,00%;0,00%;-4,09;-R$ 6,11;-5,1;-R$ 5,00;122,25%;-18,70%;73,09%;21,97%;-26,33%;-6,84;0;1,08;0,44;0,00%;0;R$ 7.085,91
AHEB5;01/10/2021;Tradicional;Consumo Cíclico | Turismo;Reprovado;R$ 18,00; R$ -   ;-100,00%; R$ -   ;0,00%;0,00%;-2,94;-R$ 6,12;-3,6;-R$ 5,00;122,45%;-18,70%;73,09%;21,97%;-26,33%;-6,84;0;0,78;0,44;0,00%;0;R$ 1.800,00
AHEB6;01/10/2021;Tradicional;Consumo Cíclico | Turismo;Reprovado;R$ 51,50; R$ -   ;-100,00%; R$ -   ;0,00%;0,00%;-8,43;-R$ 6,11;-10,29;-R$ 5,00;122,06%;-18,70%;73,09%;21,97%;-26,33%;-6,84;0;2,22;0,44;0,00%;0;R$ 6.742,00
ALPA3;01/10/2021;Nível 1;Consumo Cíclico | Setor Calçados;Reprovado;R$ 45,09;R$ 7,84;-82,60%; R$ -   ;0,00%;0,00%;88,82;R$ 0,51;8,37;R$ 5,39;9,42%;5,89%;14,52%;54,19%;7,59%;50,65;-0,2;6,74;2,07;1,86%;47,75;R$ 90.956,86
ALPA4;01/10/2021;Nível 1;Consumo Cíclico | Setor Calçados;Reprovado;R$ 53,22;R$ 7,84;-85,26%; R$ -   ;0,00%;0,00%;104,83;R$ 0,51;9,88;R$ 5,39;9,42%;5,89%;14,52%;54,19%;7,59%;50,65;-0,2;7,96;2,07;1,86%;56,36;R$ 135.684.269,09
ALPK3;01/10/2021;Novo Mercado;-;Reprovado;R$ 6,30; R$ -   ;-100,00%; R$ -   ;0,00%;0,00%;-5,7;-R$ 1,11;2,21;R$ 2,85;-38,77%;-8,05%;-1,58%;23,76%;-32,42%;-88,51;2,59;1,85;0,29;0,00%;0;R$ 239.182,18
ALSO3;01/10/2021;Novo Mercado;Exploração de imóveis;Reprovado;R$ 22,99;R$ 16,46;-28,42%;R$ 0,23;0,98%;46,78%;47,73;R$ 0,48;0,92;R$ 24,99;1,93%;1,18%;2,47%;65,01%;15,82%;25,81;0,14;7,55;2,54;5,68%;8,4;R$ 28.162.885,05
ALUP11;01/10/2021;Nível 2;Setor Elétrico;Aprovado;R$ 23,70;R$ 47,40;100,01%;R$ 0,84;3,54%;18,27%;5,16;R$ 4,59;1,09;R$ 21,74;21,12%;5,59%;18,28%;67,80%;19,70%;3,21;1,2;1,02;1,76;45,13%;0,11;R$ 21.675.808,41
ALUP3;01/10/2021;Nível 2;Setor Elétrico;Reprovado;R$ 7,90;R$ 15,80;100,01%;R$ 0,28;3,54%;18,27%;5,16;R$ 1,53;1,09;R$ 7,25;21,12%;5,59%;18,28%;67,80%;19,70%;3,21;1,2;1,02;1,76;45,13%;0,11;R$ 109.190,59
ALUP4;01/10/2021;Nível 2;Setor Elétrico;Reprovado;R$ 7,95;R$ 15,78;98,52%;R$ 0,28;3,52%;18,27%;5,19;R$ 1,53;1,1;R$ 7,23;21,19%;5,59%;18,28%;67,80%;19,70%;3,21;1,2;1,02;1,76;45,13%;0,12;R$ 161.264,41
AMAR3;01/10/2021;Novo Mercado;Consumo Cíclico | Varejista;Reprovado;R$ 5,69;R$ 5,70;0,16%; R$ -   ;0,00%;0,00%;13,27;R$ 0,43;1,69;R$ 3,37;12,74%;3,45%;-5,39%;42,23%;4,85%;-21,74;1,36;0,64;1,17;0,00%;0;R$ 30.690.704,27
ANIM3;01/10/2021;Novo Mercado;Consumo Cíclico | Educação;Reprovado;R$ 9,61;R$ 2,90;-69,78%; R$ -   ;0,00%;0,00%;163,11;R$ 0,06;1,51;R$ 6,36;0,93%;0,23%;2,56%;54,36%;1,38%;38,3;1,67;2,25;0,95;-18,01%;-9,06;R$ 25.446.002,27
APER3;01/10/2021;Novo Mercado;Serviços Financeiros;Reprovado;R$ 41,79;R$ 9,57;-77,11%; R$ -   ;0,00%;0,00%;261,87;R$ 0,16;1,64;R$ 25,48;0,63%;0,39%;0,00%;100,00%;1,53%;-545,18;0;4,01;2,12;0,00%;0;R$ 5.364.326,45
